index|LATITUDE|LONGITUDE|name
232|452|47.6924|-122.29799999999999|SHERIDAN BEACH 3.7 S, WA US
233|455|47.4174|-117.5264|SPOKANE 17 SSW, WA US
234|459|46.3522|-122.6058|ELK ROCK WASHINGTON, WA US
235|463|48.1578|-124.315|ELLIS MOUNT WASHINGTION, WA US
236|479|47.3178|-122.5767|GIG HARBOR 0.9 SE, WA US
237|491|47.6933|-121.9122|CARNATION 3.3 N, WA US
238|493|45.8819|-120.8365|GOLDENDALE 4.2 NNW, WA US
239|495|46.24|-117.39|SOURDOUGH GULCH, WA US
240|497|46.32|-121.94|PINTO ROCK, WA US
241|499|45.7317|-121.4981|WHITE SALMON 0.7 WNW, WA US
242|502|47.4669|-121.6806|NORTH BEND 5.4 ESE, WA US
243|504|48.8009|-122.7075|FERNDALE 6.5 WSW, WA US
244|507|48.793890000000005|-122.53721999999999|BELLINGHAM INTERNATIONAL AIRPORT, WA US
245|509|48.8576|-117.3738|METALINE FALLS 0.4 SSW, WA US
246|511|48.7158|-122.499|BELLINGHAM 2.4 SW, WA US
247|528|47.4325|-122.574|OLALLA 1.4 WNW, WA US
248|529|47.8988|-122.5711|HANSVILLE 1 SW, WA US
249|531|47.907779999999995|-122.28028|EVERETT SNOHOMISH CO AIRPORT, WA US
250|535|47.03389|-120.53028|ELLENSBURG BOWERS FIELD, WA US
251|537|47.2675|-122.57611000000001|TACOMA NARROWS AIRPORT, WA US
252|539|46.64|-121.83|SKATE CREEK, WA US
253|541|48.88|-121.26|BEAVER PASS, WA US
254|549|46.4122|-117.8548|DAYTON 8.7 NE, WA US
255|550|48.0757|-117.1926|ELK 5.6 NE, WA US
256|551|48.2|-121.5|GOLD HILL WASHINGTON, WA US
257|553|47.2899|-123.0434|SHELTON 5.9 NNE, WA US
258|558|47.7446|-122.5097|INDIANOLA 0.7 SSE, WA US
259|560|48.9576|-119.4432|OROVILLE 1.2 NNW, WA US
260|562|48.07|-120.85|TRINITY, WA US
261|566|47.7616|-122.4719|KINGSTON 2.7 SSE, WA US
262|567|47.4089|-122.1801|KENT 2.9 ENE, WA US
263|568|47.5857|-122.6092|BREMERTON 1.8 NE, WA US
264|570|46.3953|-119.0713|SAGEMOOR, WA US
265|572|47.4689|-121.745|NORTH BEND 2.8 SE, WA US
266|574|47.5859|-122.2509|MERCER ISLAND 1.5 NW, WA US
267|576|46.345|-120.0289|SUNNYSIDE NUMBER 2, WA US
268|578|46.18|-117.54|SPRUCE SPRINGS, WA US
269|597|45.653|-122.5311|ORCHARDS 1.0 SE, WA US
270|599|47.4281|-123.2124|HOODSPORT 3.7 WNW, WA US
271|600|47.8061|-122.6516|POULSBO 1 NW, WA US
272|606|48.5568|-123.0792|FRIDAY HARBOR 2.6 WNW, WA US
273|611|47.68306|-117.32139|SPOKANE FELTS FIELD, WA US
274|621|47.4352|-120.2891|EAST WENATCHEE 1.2 N, WA US
275|623|47.6872|-122.2553|SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US
276|625|48.8689|-122.6245|FERNDALE 2.1 NW, WA US
277|628|46.16|-122.18|SWIFT CREEK, WA US
278|631|45.6686|-122.6862|VANCOUVER 2.1 NW, WA US
279|635|48.93|-121.2|BROWN TOP, WA US
280|637|45.7541|-122.4595|BRUSH PRAIRIE 4.7 ENE, WA US
281|641|48.4845|-122.9023|LOPEZ ISLAND 1.2 SW, WA US
282|642|46.93|-121.95|MOWICH, WA US
283|646|47.87|-123.08|DUNGENESS, WA US
284|652|47.16|-121.42|SAWMILL RIDGE, WA US
285|654|48.0758|-123.3119|PORT ANGELES 10.5 SE, WA US
286|655|48.0862|-122.87899999999999|PORT TOWNSEND 5.2 WSW, WA US
287|656|48.59|-119.87|MUCKAMUCK, WA US
